"OreDict Key","ItemStacks"
"augmentedLumpBoron","[jaopca:item_augmentedlumpboron@0 - 'Augmented Boron Lump' - <no NBT>]"
"augmentedLumpCertusQuartz","[jaopca:item_augmentedlumpcertusquartz@0 - 'Augmented Certus Quartz Lump' - <no NBT>]"
"augmentedLumpChargedCertusQuartz","[jaopca:item_augmentedlumpchargedcertusquartz@0 - 'Augmented Charged Certus Quartz Lump' - <no NBT>]"
"augmentedLumpCinnabar","[jaopca:item_augmentedlumpcinnabar@0 - 'Augmented Cinnabar Lump' - <no NBT>]"
"augmentedLumpCoal","[teslathingies:augmented_coal@0 - 'Augmented Coal Lump' - <no NBT>]"
"augmentedLumpCobalt","[jaopca:item_augmentedlumpcobalt@0 - 'Augmented Cobalt Lump' - <no NBT>]"
"augmentedLumpCopper","[teslathingies:augmented_copper@0 - 'Augmented Copper Lump' - <no NBT>]"
"augmentedLumpDiamond","[teslathingies:augmented_diamond@0 - 'Augmented Diamond Lump' - <no NBT>]"
"augmentedLumpDimensionalShard","[jaopca:item_augmentedlumpdimensionalshard@0 - 'Augmented Dimensional Shard Lump' - <no NBT>]"
"augmentedLumpDraconium","[jaopca:item_augmentedlumpdraconium@0 - 'Augmented Draconium Lump' - <no NBT>]"
"augmentedLumpEmerald","[teslathingies:augmented_emerald@0 - 'Augmented Emerald Lump' - <no NBT>]"
"augmentedLumpGalena","[jaopca:item_augmentedlumpgalena@0 - 'Augmented Galena Lump' - <no NBT>]"
"augmentedLumpGarnet","[jaopca:item_augmentedlumpgarnet@0 - 'Augmented Garnet Lump' - <no NBT>]"
"augmentedLumpGold","[teslathingies:augmented_gold@0 - 'Augmented Gold Lump' - <no NBT>]"
"augmentedLumpIridium","[teslathingies:augmented_iridium@0 - 'Augmented Iridium Lump' - <no NBT>]"
"augmentedLumpIron","[teslathingies:augmented_iron@0 - 'Augmented Iron Lump' - <no NBT>]"
"augmentedLumpLapis","[teslathingies:augmented_lapis@0 - 'Augmented Lapis Lump' - <no NBT>]"
"augmentedLumpLead","[teslathingies:augmented_lead@0 - 'Augmented Lead Lump' - <no NBT>]"
"augmentedLumpLithium","[jaopca:item_augmentedlumplithium@0 - 'Augmented Lithium Lump' - <no NBT>]"
"augmentedLumpMagnesium","[teslathingies:augmented_magnesium@0 - 'Augmented Magnesium Lump' - <no NBT>]"
"augmentedLumpMithril","[teslathingies:augmented_mithril@0 - 'Augmented Mithril Lump' - <no NBT>]"
"augmentedLumpNickel","[teslathingies:augmented_nickel@0 - 'Augmented Nickel Lump' - <no NBT>]"
"augmentedLumpOpal","[jaopca:item_augmentedlumpopal@0 - 'Augmented Opal Lump' - <no NBT>]"
"augmentedLumpOsmium","[teslathingies:augmented_osmium@0 - 'Augmented Osmium Lump' - <no NBT>]"
"augmentedLumpPeridot","[jaopca:item_augmentedlumpperidot@0 - 'Augmented Peridot Lump' - <no NBT>]"
"augmentedLumpPlatinum","[teslathingies:augmented_platinum@0 - 'Augmented Platinum Lump' - <no NBT>]"
"augmentedLumpPyrite","[jaopca:item_augmentedlumppyrite@0 - 'Augmented Pyrite Lump' - <no NBT>]"
"augmentedLumpQuartz","[jaopca:item_augmentedlumpquartz@0 - 'Augmented Quartz Lump' - <no NBT>]"
"augmentedLumpQuartzBlack","[jaopca:item_augmentedlumpquartzblack@0 - 'Augmented Black Quartz Lump' - <no NBT>]"
"augmentedLumpRedstone","[teslathingies:augmented_redstone@0 - 'Augmented Redstone Lump' - <no NBT>]"
"augmentedLumpRuby","[jaopca:item_augmentedlumpruby@0 - 'Augmented Ruby Lump' - <no NBT>]"
"augmentedLumpSalt","[jaopca:item_augmentedlumpsalt@0 - 'Augmented Salt Lump' - <no NBT>]"
"augmentedLumpSapphire","[jaopca:item_augmentedlumpsapphire@0 - 'Augmented Sapphire Lump' - <no NBT>]"
"augmentedLumpSilver","[teslathingies:augmented_silver@0 - 'Augmented Silver Lump' - <no NBT>]"
"augmentedLumpSodalite","[jaopca:item_augmentedlumpsodalite@0 - 'Augmented Sodalite Lump' - <no NBT>]"
"augmentedLumpSphalerite","[jaopca:item_augmentedlumpsphalerite@0 - 'Augmented Sphalerite Lump' - <no NBT>]"
"augmentedLumpSteel","[teslathingies:augmented_steel@0 - 'Augmented Steel Lump' - <no NBT>]"
"augmentedLumpSulfur","[jaopca:item_augmentedlumpsulfur@0 - 'Augmented Sulfur Lump' - <no NBT>]"
"augmentedLumpSulphur","[jaopca:item_augmentedlumpsulfur@0 - 'Augmented Sulfur Lump' - <no NBT>]"
"augmentedLumpThorium","[jaopca:item_augmentedlumpthorium@0 - 'Augmented Thorium Lump' - <no NBT>]"
"augmentedLumpTin","[teslathingies:augmented_tin@0 - 'Augmented Tin Lump' - <no NBT>]"
"augmentedLumpTungsten","[teslathingies:augmented_tungsten@0 - 'Augmented Tungsten Lump' - <no NBT>]"
"augmentedLumpUranium","[teslathingies:augmented_uranium@0 - 'Augmented Uranium Lump' - <no NBT>]"
"augmentedLumpYellorium","[jaopca:item_augmentedlumpyellorium@0 - 'Augmented Yellorium Lump' - <no NBT>]"
"bEnderAirBottle","[botania:manaresource@15 - 'Ender Air Bottle' - <no NBT>]"
"bFlask","[botania:vial@1 - 'Alfglass Flask' - <no NBT>]"
"bPlaceholder","[botania:manaresource@11 - 'Crafting Placeholder' - <no NBT>]"
"bRedString","[botania:manaresource@12 - 'Red String' - <no NBT>]"
"bVial","[botania:vial@0 - 'Managlass Vial' - <no NBT>]"
"ballConductiveIron","[enderio:item_alloy_ball@4 - 'Conductive Iron Grinding Ball' - <no NBT>]"
"ballConstructionAlloy","[enderio:item_alloy_ball@9 - 'Iron Alloy Grinding Ball' - <no NBT>]"
"ballCrudeSteel","[enderio:item_alloy_endergy_ball@0 - 'Crude Steel Grinding Ball' - <no NBT>]"
"ballCrystallineAlloy","[enderio:item_alloy_endergy_ball@1 - 'Crystalline Alloy Grinding Ball' - <no NBT>]"
"ballCrystallinePinkSlime","[enderio:item_alloy_endergy_ball@4 - 'Crystalline Pink Slime Grinding Ball' - <no NBT>]"
"ballDarkSteel","[enderio:item_alloy_ball@6 - 'Dark Steel Grinding Ball' - <no NBT>]"
"ballElectricalSteel","[enderio:item_alloy_ball@0 - 'Electrical Steel Grinding Ball' - <no NBT>]"
"ballEndSteel","[enderio:item_alloy_ball@8 - 'End Steel Grinding Ball' - <no NBT>]"
"ballEnergeticAlloy","[enderio:item_alloy_ball@1 - 'Energetic Alloy Grinding Ball' - <no NBT>]"
"ballEnergeticSilver","[enderio:item_alloy_endergy_ball@5 - 'Energetic Silver Grinding Ball' - <no NBT>]"
"ballInfinity","[avaritiaio:grindingballinfinity@0 - 'Infinity Grinding Ball' - <no NBT>]"
"ballMelodicAlloy","[enderio:item_alloy_endergy_ball@2 - 'Melodic Alloy Grinding Ball' - <no NBT>]"
"ballNeutronium","[avaritiaio:grindingballneutronium@0 - 'Neutronium Grinding Ball' - <no NBT>]"
"ballPulsatingIron","[enderio:item_alloy_ball@5 - 'Pulsating Iron Grinding Ball' - <no NBT>]"
"ballRedstoneAlloy","[enderio:item_alloy_ball@3 - 'Redstone Alloy Grinding Ball' - <no NBT>]"
"ballSoularium","[enderio:item_alloy_ball@7 - 'Soularium Grinding Ball' - <no NBT>]"
"ballStellarAlloy","[enderio:item_alloy_endergy_ball@3 - 'Stellar Alloy Grinding Ball' - <no NBT>]"
"ballVibrantAlloy","[enderio:item_alloy_ball@2 - 'Vibrant Alloy Grinding Ball' - <no NBT>]"
"ballVividAlloy","[enderio:item_alloy_endergy_ball@6 - 'Vivid Alloy Grinding Ball' - <no NBT>]"
"barsIron","[minecraft:iron_bars@0 - 'Iron Bars' - <no NBT>]"
"battery","[mekanism:energytablet@0 - 'Energy Tablet' - <no NBT>]"
"bed","[minecraft:bed@0 - 'White Bed' - <no NBT>]"
"beeComb","[forestry:bee_combs@32767 - '(WILDCARD)' - <no NBT>]; [extrabees:honey_comb@32767 - '(WILDCARD)' - <no NBT>]; [magicbees:beecomb@0 - 'Mundane Comb' - <no NBT>]; [magicbees:beecomb@1 - 'Molten Comb' - <no NBT>]; [magicbees:beecomb@2 - 'Occult Comb' - <no NBT>]; [magicbees:beecomb@3 - 'Otherworldy Comb' - <no NBT>]; [magicbees:beecomb@4 - 'Transmuting Comb' - <no NBT>]; [magicbees:beecomb@5 - 'Papery Comb' - <no NBT>]; [magicbees:beecomb@6 - 'Soul Comb' - <no NBT>]; [magicbees:beecomb@7 - 'Furtive Comb' - <no NBT>]; [magicbees:beecomb@8 - 'Memory Comb' - <no NBT>]; [magicbees:beecomb@9 - 'Temporal Comb' - <no NBT>]; [magicbees:beecomb@10 - 'Forgotten Comb' - <no NBT>]; [magicbees:beecomb@11 - 'Windy Comb' - <no NBT>]; [magicbees:beecomb@12 - 'Firey Comb' - <no NBT>]; [magicbees:beecomb@13 - 'Watery Comb' - <no NBT>]; [magicbees:beecomb@14 - 'Earthy Comb' - <no NBT>]; [magicbees:beecomb@15 - 'item.magicbees.beecomb.te_destabilized.name' - <no NBT>]; [magicbees:beecomb@16 - 'item.magicbees.beecomb.te_carbon.name' - <no NBT>]; [magicbees:beecomb@17 - 'item.magicbees.beecomb.te_lux.name' - <no NBT>]; [magicbees:beecomb@18 - 'item.magicbees.beecomb.te_endearing.name' - <no NBT>]; [gendustry:honey_comb@32767 - '(WILDCARD)' - <no NBT>]"
"beeswax","[bewitchment:tallow@0 - 'Tallow' - <no NBT>]"
"binnie_database","[botany:database@0 - 'Botanist Database' - <no NBT>]; [extrabees:dictionary@0 - 'Apiarist Database' - <no NBT>]; [extratrees:databasetree@0 - 'Arborist Database' - <no NBT>]; [extratrees:databaselepi@0 - 'Lepidopterist Database' - <no NBT>]"
"bioplastic","[nuclearcraft:part@6 - 'Bioplastic' - <no NBT>]"
"blazePowder",""
"blockAdamantine",""
"blockAdaminite","[jaopca:block_blockadaminite@0 - 'Block of Adaminite' - <no NBT>]"
"blockAdvancedAlloy","[jaopca:block_blockadvancedalloy@0 - 'Block of Advanced Alloy' - <no NBT>]"
"blockAethium","[environmentaltech:aethium@0 - 'Aethium' - <no NBT>]; [environmentaltech:aethium_paver@0 - 'Aethium Paver' - <no NBT>]; [environmentaltech:aethium_bricks@0 - 'Aethium Bricks' - <no NBT>]; [environmentaltech:aethium_tiles@0 - 'Aethium Tiles' - <no NBT>]"
"blockAlchemical","[planarartifice:alkimium_block@0 - 'Block of Alkimium' - <no NBT>]"
"blockAlkimium","[planarartifice:alkimium_block@0 - 'Block of Alkimium' - <no NBT>]"
"blockAll",""
"blockAlubrass","[tconstruct:metal@5 - 'Block of Aluminum Brass' - <no NBT>]"
"blockAluminium","[thermalfoundation:storage@4 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@0 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@1 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@2 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@3 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@4 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@5 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@6 - 'Block of Aluminum' - <no NBT>]"
"blockAluminum","[thermalfoundation:storage@4 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@0 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@1 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@2 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@3 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@4 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@5 - 'Block of Aluminum' - <no NBT>]; [chisel:blockaluminum@6 - 'Block of Aluminum' - <no NBT>]"
"blockAluminumBrass",""
"blockAlumite","[plustic:alumiteblock@0 - 'Alumite Block' - <no NBT>]"
"blockAmber","[jaopca:block_blockamber@0 - 'Block of Amber' - <no NBT>]"
"blockAmericium243","[nuclearcraft:block_depleted_americium@0 - 'Americium-243 Block' - <no NBT>]"
"blockAmericium243Base",""
"blockAmericium243Oxide",""
"blockAmethyst","[bewitchment:block_of_amethyst@0 - 'Block of Amethyst' - <no NBT>]"
"blockAmordrine",""
"blockAngmallen",""
"blockApatite","[forestry:resource_storage@0 - 'Block of Apatite' - <no NBT>]"
"blockAquamarine","[jaopca:block_blockaquamarine@0 - 'Block of Aquamarine' - <no NBT>]; [naturalpledge:storage@1 - 'Aquamarine Bricks' - <no NBT>]"
"blockArdite","[tconstruct:metal@1 - 'Block of Ardite' - <no NBT>]"
"blockAstralSilver",""
"blockAstralStarmetal","[jaopca:block_blockastralstarmetal@0 - 'Block of Starmetal' - <no NBT>]"
"blockAtlarus",""
"blockBaseEssence","[mysticalagriculture:ingot_storage@0 - 'Block of Base Essence' - <no NBT>]"
"blockBauxite","[jaopca:block_blockbauxite@0 - 'Block of Bauxite' - <no NBT>]"
"blockBedrock",""
"blockBerkelium247","[nuclearcraft:block_depleted_berkelium@0 - 'Berkelium-247 Block' - <no NBT>]"
"blockBerkelium247Base",""
"blockBerkelium247Oxide",""
"blockBeryllium","[nuclearcraft:ingot_block@9 - 'Beryllium Block' - <no NBT>]"
"blockBismuth",""
"blockBlackIron","[extendedcrafting:storage@0 - 'Block of Black Iron' - <no NBT>]"
"blockBlackSteel",""
"blockBlaze","[botania:blazeblock@0 - 'Blaze Mesh' - <no NBT>]"
"blockBloodBronze","[bloodtinker:blood_bronze_block@0 - 'Blood Bronze Block' - <no NBT>]"
"blockBloodInfusedIron","[bloodarsenal:blood_infused_iron_block@0 - 'Blood Infused Iron Block' - <no NBT>]"
"blockBloodInfusedWood","[bloodarsenal:blood_infused_wooden_planks@0 - 'Blood Infused Wooden Planks' - <no NBT>]"
"blockBlutonium","[bigreactors:blockblutonium@0 - 'Blutonium Block' - <no NBT>]"
"blockBone","[tp:bone_block@0 - 'Compressed Bone Block' - <no NBT>]; [minecraft:bone_block@0 - 'Bone Block' - <no NBT>]"
"blockBoron","[nuclearcraft:ingot_block@5 - 'Boron Block' - <no NBT>]"
"blockBoronArsenide","[jaopca:block_blockboronarsenide@0 - 'Block of Boron Arsenide' - <no NBT>]"
"blockBoronNitride","[jaopca:block_blockboronnitride@0 - 'Block of Boron Nitride' - <no NBT>]"
"blockBrass","[techreborn:storage@5 - 'Block of Brass' - <no NBT>]"
"blockBronze","[thermalfoundation:storage_alloy@3 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@0 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@1 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@2 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@3 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@4 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@5 - 'Block of Bronze' - <no NBT>]; [chisel:blockbronze@6 - 'Block of Bronze' - <no NBT>]"
"blockCactus","[minecraft:cactus@0 - 'Cactus' - <no NBT>]; [minecraft:cactus@32767 - '(WILDCARD)' - <no NBT>]"
"blockCalifornium252","[nuclearcraft:block_depleted_californium@0 - 'Californium-252 Block' - <no NBT>]"
"blockCalifornium252Base",""
"blockCalifornium252Oxide",""
"blockCarmot",""
"blockCarobbiite","[jaopca:block_blockcarobbiite@0 - 'Block of Carobbiite' - <no NBT>]"
"blockCelenegil",""
"blockCertusQuartz","[jaopca:block_blockcertusquartz@0 - 'Block of Certus Quartz' - <no NBT>]"
"blockCeruclase",""
"blockCharcoal","[thermalfoundation:storage_resource@0 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@0 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@1 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@2 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@3 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@4 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@5 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@6 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@7 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@8 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@9 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@10 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@11 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@12 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@13 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@14 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal@15 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@0 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@1 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@2 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@3 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@4 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@5 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@6 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@7 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@8 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@9 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@10 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@11 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@12 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@13 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@14 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal1@15 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal2@0 - 'Block of Charcoal' - <no NBT>]; [chisel:block_charcoal2@1 - 'Block of Charcoal' - <no NBT>]; [tp:charcoal_block@0 - 'Charcoal Block' - <no NBT>]"
"blockChargedCertusQuartz","[jaopca:block_blockchargedcertusquartz@0 - 'Block of Charged Certus Quartz' - <no NBT>]"
"blockChest","[minecraft:chest@0 - 'Chest' - <no NBT>]"
"blockChocolate",""
"blockChrome","[techreborn:storage@3 - 'Block of Chrome' - <no NBT>]"
"blockChromium","[techreborn:storage@3 - 'Block of Chrome' - <no NBT>]"
"blockCinnabar","[jaopca:block_blockcinnabar@0 - 'Block of Cinnabar' - <no NBT>]"
"blockClay","[minecraft:clay@32767 - '(WILDCARD)' - <no NBT>]; [minecraft:clay@0 - 'Clay' - <no NBT>]"
"blockCoal","[minecraft:coal_block@0 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@0 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@1 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@2 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@3 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@4 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@5 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@6 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@7 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@8 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@9 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@10 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@11 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@12 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@13 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@14 - 'Block of Coal' - <no NBT>]; [chisel:block_coal@15 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@0 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@1 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@2 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@3 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@4 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@5 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@6 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@7 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@8 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@9 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@10 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@11 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@12 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@13 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@14 - 'Block of Coal' - <no NBT>]; [chisel:block_coal1@15 - 'Block of Coal' - <no NBT>]; [chisel:block_coal2@0 - 'Block of Coal' - <no NBT>]; [chisel:block_coal2@1 - 'Block of Coal' - <no NBT>]"
"blockCoalCoke","[chisel:block_coal_coke@0 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@1 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@2 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@3 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@4 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@5 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@6 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@7 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@8 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@9 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@10 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@11 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@12 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@13 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@14 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke@15 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@0 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@1 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@2 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@3 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@4 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@5 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@6 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@7 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@8 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@9 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@10 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@11 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@12 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@13 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@14 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke1@15 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke2@0 - 'Block of Coal Coke' - <no NBT>]; [chisel:block_coal_coke2@1 - 'Block of Coal Coke' - <no NBT>]"
"blockCobalt","[chisel:blockcobalt@0 - 'Block of Cobalt' - <no NBT>]; [chisel:blockcobalt@1 - 'Block of Cobalt' - <no NBT>]; [chisel:blockcobalt@2 - 'Block of Cobalt' - <no NBT>]; [chisel:blockcobalt@3 - 'Block of Cobalt' - <no NBT>]; [chisel:blockcobalt@4 - 'Block of Cobalt' - <no NBT>]; [chisel:blockcobalt@5 - 'Block of Cobalt' - <no NBT>]; [chisel:blockcobalt@6 - 'Block of Cobalt' - <no NBT>]; [magneticraft:storage_blocks@2 - 'Cobalt Block' - <no NBT>]"
"blockCocoaButter","[jaopca:block_blockcocoabutter@0 - 'Block of Cocoa Butter' - <no NBT>]"
